TC_ID,Module,Title,Priority,Test_Type,RICEPOT,Severity,Step_No,Step_Action,Expected_Result,Actual_Result,Status
TC-001,Authentication,Login with valid credentials,Critical,Functional,R,Critical,1,Open app.vwo.com,,,
,,,,,,,2,Enter valid email,,,
,,,,,,,3,Enter valid password,,,
,,,,,,,4,Click Sign In,User authenticated and redirected to dashboard within 2s,,
TC-002,Authentication,Login with invalid password,High,Functional,O,High,1,Open login,,,
,,,,,,,2,Enter valid email,,,
,,,,,,,3,Enter wrong password,,,
,,,,,,,4,Submit,Inline error shown; access denied; no session token issued,,
TC-003,Authentication,Login field boundary - empty submit,Medium,Functional,T,Medium,1,Leave email and password blank,,,
,,,,,,,2,Click Sign In,Validation errors on both fields; form not submitted,,
TC-004,Authentication,Email format validation,Medium,Functional,T,Medium,1,Enter malformed email,,,
,,,,,,,2,Enter any password,,,
,,,,,,,3,Submit,Email-format validation error; submission blocked,,
TC-005,Authentication,2FA challenge enforced,Critical,Security,C,Critical,1,Login with valid creds,,,
,,,,,,,2,Observe 2FA prompt,,,
,,,,,,,3,Enter valid OTP,2FA code required before dashboard access; valid OTP grants entry,,
TC-006,Authentication,Session timeout / re-auth,High,Security,C,High,1,Login,,,
,,,,,,,2,Idle beyond session TTL,,,
,,,,,,,3,Attempt protected action,Session expired; user redirected to login; action blocked,,
TC-007,RBAC,Analyst role cannot edit experiment,High,Security,C,High,1,Login as analyst,,,
,,,,,,,2,Open an experiment,,,
,,,,,,,3,Attempt to edit variation,Edit controls hidden/disabled; unauthorized API call returns 403,,
TC-008,Experimentation,Create A/B test with two variations,Critical,Functional,E,Critical,1,New > A/B Test,,,
,,,,,,,2,Enter URL,,,
,,,,,,,3,Add Variation B,,,
,,,,,,,4,Save,Experiment created in draft with Control + Variation B,,
TC-009,Experimentation,Create Split URL test,High,Functional,E,High,1,New > Split URL,,,
,,,,,,,2,Add control and variant URLs,,,
,,,,,,,3,Save,Split URL test created with both destinations registered,,
TC-010,Experimentation,Create Multivariate test with multiple sections,High,Functional,T,High,1,New > Multivariate,,,
,,,,,,,2,Define 2 sections x 2 variants,,,
,,,,,,,3,Save,MVT created; 4 combinations generated,,
TC-011,Experimentation,Reject experiment with zero variations,Medium,Functional,T,Medium,1,Create experiment,,,
,,,,,,,2,Remove all variations,,,
,,,,,,,3,Attempt launch,Launch blocked; validation requires >=1 variation,,
TC-012,Experimentation,Define custom goal / metric,High,Functional,E,High,1,Open Goals,,,
,,,,,,,2,Add conversion goal (click),,,
,,,,,,,3,Map element,,,
,,,,,,,4,Save,Goal saved and linked to experiment KPIs,,
TC-013,Experimentation,Schedule experiment start/end,Medium,Functional,P,Medium,1,Open Schedule,,,
,,,,,,,2,Set future start and end,,,
,,,,,,,3,Save,Schedule persisted; experiment auto-activates at start,,
TC-014,Editor,Visual editor edits element text,High,Functional,O,High,1,Open visual editor,,,
,,,,,,,2,Select heading,,,
,,,,,,,3,Change text,,,
,,,,,,,4,Save,Text change applied and previewable in variation,,
TC-015,Editor,Code editor injects custom JS/CSS,High,Functional,O,High,1,Open code editor,,,
,,,,,,,2,Add CSS override,,,
,,,,,,,3,Save,,,
,,,,,,,4,Preview,Custom code applied; preview reflects change,,
TC-016,Editor,Preview across device viewports,Medium,Functional,O,Medium,1,Open preview,,,
,,,,,,,2,Toggle desktop/tablet/mobile,Variation renders correctly per viewport,,
TC-017,SmartStats,Results show statistical confidence,Critical,Functional,P,Critical,1,Open Reports,,,
,,,,,,,2,View SmartStats,,,
,,,,,,,3,Read probability-to-beat-baseline,Confidence/probability metric displayed; winner flagged at threshold,,
TC-018,SmartStats,Insufficient data state handled,Medium,Functional,T,Medium,1,Open Reports immediately after launch,Reports show 'insufficient data' state; no false winner,,
TC-019,Insights,Generate click heatmap,High,Functional,E,High,1,Open Insights,,,
,,,,,,,2,Select page,,,
,,,,,,,3,Generate click heatmap,Heatmap renders click density overlay,,
TC-020,Insights,Capture and replay session recording,High,Functional,E,High,1,Open Recordings,,,
,,,,,,,2,Select session,,,
,,,,,,,3,Play,Recording replays user interactions accurately,,
TC-021,Insights,Funnel drop-off analytics,High,Functional,E,High,1,Open Funnels,,,
,,,,,,,2,Define 3-step funnel,,,
,,,,,,,3,View report,Drop-off percentages shown per step,,
TC-022,Insights,On-page survey creation,Medium,Functional,O,Medium,1,New survey,,,
,,,,,,,2,Add question,,,
,,,,,,,3,Target page,,,
,,,,,,,4,Publish,Survey published and renders on target page,,
TC-023,Targeting,Audience segment by geography,High,Functional,I,High,1,Open Targeting,,,
,,,,,,,2,Add geo = India,,,
,,,,,,,3,Save,Experiment serves only to matching geo segment,,
TC-024,Targeting,Segment by behavior attribute,High,Functional,I,High,1,Targeting,,,
,,,,,,,2,Add returning-visitor condition,,,
,,,,,,,3,Save,Targeting rule saved; serving restricted to segment,,
TC-025,Reporting,Real-time dashboard refresh,High,System,P,High,1,Open dashboard,,,
,,,,,,,2,Generate conversions,,,
,,,,,,,3,Observe update,Metrics update in near real-time without manual reload,,
TC-026,Reporting,Export report data,Medium,Functional,O,Medium,1,Open report,,,
,,,,,,,2,Click Export,,,
,,,,,,,3,Choose CSV,Report downloaded as CSV with correct metrics,,
TC-027,Personalization,Deliver personalized content to segment,High,Functional,I,High,1,Create campaign,,,
,,,,,,,2,Target segment,,,
,,,,,,,3,Set content,,,
,,,,,,,4,Activate,Matching users see personalized content; others see default,,
TC-028,Integration,Sync goal data to Google Analytics,High,Integration,I,High,1,Enable GA connector,,,
,,,,,,,2,Run experiment,,,
,,,,,,,3,Verify GA dimension,Experiment data appears as GA custom dimension,,
TC-029,Integration,Mixpanel event forwarding,High,Integration,I,High,1,Enable Mixpanel,,,
,,,,,,,2,Trigger goal,,,
,,,,,,,3,Check Mixpanel,Goal event forwarded to Mixpanel with correct payload,,
TC-030,Integration,Connector auth failure handling,Medium,Security,C,Medium,1,Configure connector with bad token,,,
,,,,,,,2,Save,,,
,,,,,,,3,Trigger sync,Graceful error surfaced; no data leak; sync retried/failed safely,,
