TC_ID,Module,Title,RICEPOT,Test_Type,Priority,Preconditions,Test_Steps,Test_Data,Expected_Result,PRD_Ref,Severity,Automation_Candidate
TC-001,Authentication,Login with valid credentials,R,Functional,Critical,Active VWO account exists,"1. Open app.vwo.com; 2. Enter valid email; 3. Enter valid password; 4. Click Sign In",admin@vwo-test.com / valid pwd,User authenticated and redirected to dashboard within 2s,NFR-Security,Critical,Yes
TC-002,Authentication,Login with invalid password,O,Functional,High,Active account exists,"1. Open login; 2. Enter valid email; 3. Enter wrong password; 4. Submit",admin@vwo-test.com / wrong,Inline error shown; access denied; no session token issued,NFR-Security,High,Yes
TC-003,Authentication,Login field boundary - empty submit,T,Functional,Medium,On login page,"1. Leave email and password blank; 2. Click Sign In",empty,Validation errors on both fields; form not submitted,NFR-Security,Medium,Yes
TC-004,Authentication,Email format validation,T,Functional,Medium,On login page,"1. Enter malformed email; 2. Enter any password; 3. Submit",notanemail / pwd,Email-format validation error; submission blocked,NFR-Security,Medium,Yes
TC-005,Authentication,2FA challenge enforced,C,Security,Critical,2FA enabled on account,"1. Login with valid creds; 2. Observe 2FA prompt; 3. Enter valid OTP",valid OTP,2FA code required before dashboard access; valid OTP grants entry,NFR-Security,Critical,No
TC-006,Authentication,Session timeout / re-auth,C,Security,High,Authenticated session idle,"1. Login; 2. Idle beyond session TTL; 3. Attempt protected action",idle 30m,Session expired; user redirected to login; action blocked,NFR-Security,High,No
TC-007,RBAC,Analyst role cannot edit experiment,C,Security,High,Account with analyst role,"1. Login as analyst; 2. Open an experiment; 3. Attempt to edit variation",analyst role,Edit controls hidden/disabled; unauthorized API call returns 403,NFR-Security,High,Yes
TC-008,Experimentation,Create A/B test with two variations,E,Functional,Critical,Logged in as editor,"1. New > A/B Test; 2. Enter URL; 3. Add Variation B; 4. Save",url=staging-home,Experiment created in draft with Control + Variation B,FR1,Critical,Yes
TC-009,Experimentation,Create Split URL test,E,Functional,High,Logged in as editor,"1. New > Split URL; 2. Add control and variant URLs; 3. Save","/a vs /b",Split URL test created with both destinations registered,FR1,High,Yes
TC-010,Experimentation,Create Multivariate test with multiple sections,T,Functional,High,Logged in as editor,"1. New > Multivariate; 2. Define 2 sections x 2 variants; 3. Save",2x2 combos,MVT created; 4 combinations generated,FR1,High,Yes
TC-011,Experimentation,Reject experiment with zero variations,T,Functional,Medium,New experiment open,"1. Create experiment; 2. Remove all variations; 3. Attempt launch",no variants,Launch blocked; validation requires >=1 variation,FR1,Medium,Yes
TC-012,Experimentation,Define custom goal / metric,E,Functional,High,Experiment in draft,"1. Open Goals; 2. Add conversion goal (click); 3. Map element; 4. Save",CTA click goal,Goal saved and linked to experiment KPIs,FR1,High,Yes
TC-013,Experimentation,Schedule experiment start/end,P,Functional,Medium,Experiment configured,"1. Open Schedule; 2. Set future start and end; 3. Save",start+1d/end+7d,Schedule persisted; experiment auto-activates at start,FR1,Medium,No
TC-014,Editor,Visual editor edits element text,O,Functional,High,Experiment variation open,"1. Open visual editor; 2. Select heading; 3. Change text; 4. Save",new headline,Text change applied and previewable in variation,FR3,High,No
TC-015,Editor,Code editor injects custom JS/CSS,O,Functional,High,Variation open,"1. Open code editor; 2. Add CSS override; 3. Save; 4. Preview",css snippet,Custom code applied; preview reflects change,FR3,High,No
TC-016,Editor,Preview across device viewports,O,Functional,Medium,Variation with changes,"1. Open preview; 2. Toggle desktop/tablet/mobile",viewport toggle,Variation renders correctly per viewport,FR3,Medium,Yes
TC-017,SmartStats,Results show statistical confidence,P,Functional,Critical,Running experiment with traffic,"1. Open Reports; 2. View SmartStats; 3. Read probability-to-beat-baseline",seeded traffic,Confidence/probability metric displayed; winner flagged at threshold,FR2,Critical,No
TC-018,SmartStats,Insufficient data state handled,T,Functional,Medium,New experiment low traffic,"1. Open Reports immediately after launch",0 visitors,Reports show 'insufficient data' state; no false winner,FR2,Medium,No
TC-019,Insights,Generate click heatmap,E,Functional,High,Page with recorded sessions,"1. Open Insights; 2. Select page; 3. Generate click heatmap",home page,Heatmap renders click density overlay,FR4,High,No
TC-020,Insights,Capture and replay session recording,E,Functional,High,Sessions recorded,"1. Open Recordings; 2. Select session; 3. Play",1 session,Recording replays user interactions accurately,FR4,High,No
TC-021,Insights,Funnel drop-off analytics,E,Functional,High,Funnel defined,"1. Open Funnels; 2. Define 3-step funnel; 3. View report",3-step funnel,Drop-off percentages shown per step,FR4,High,No
TC-022,Insights,On-page survey creation,O,Functional,Medium,Logged in,"1. New survey; 2. Add question; 3. Target page; 4. Publish",1 question,Survey published and renders on target page,FR4,Medium,No
TC-023,Targeting,Audience segment by geography,I,Functional,High,Experiment in draft,"1. Open Targeting; 2. Add geo = India; 3. Save",geo=IN,Experiment serves only to matching geo segment,FR5,High,No
